#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
ABCB11	0	0	0	0	0	0	0	0.52	3.89	11.22	17.41	0	0	1.58	0	0	0	0	0.48	0.82	0	0.4	2.82	1.93	0	0.71
ABCB4	0.28	0	0.92	0.98	1.05	0.41	3.34	12.82	24.88	36.63	33.32	10.91	23.51	16.59	11.29	17.46	6.91	25.06	12.63	7.13	3.92	13.08	1.01	4.81	3.98	17.17
ABCB5	3.9	2.08	2.24	1.84	5.34	3.46	10.2	6.61	3.89	23.52	17.24	4.86	0.4	9.35	0.98	11.18	47.64	18.8	13.53	20.14	0	5.95	19.49	12.34	35.5	81.44
ABCB6	27.99	18.88	16.4	13.62	13.78	8.31	7.71	14.3	12.7	16.08	14.51	17.59	19.73	24.57	20.18	29.76	47.55	12.6	12.98	14.95	23.63	17.89	23.63	34.12	25.92	23.64
ABCB7	64.73	74.15	72.37	70.61	51.83	58.54	70.87	56.8	67.56	85.15	102.41	100.63	91.04	53.38	89.82	110.17	86.2	77.33	82.25	85.23	79	58.27	46.13	63.88	52.84	39.94
ABCB8	5.62	9.46	6.4	3.71	2.86	4	7.44	4.42	5.13	2.21	4	5.48	2.93	5.16	5.61	0	0.47	10.66	6.38	2.91	5.9	6.16	3.69	20.29	0	5.06
ABCB9	1.3	1.4	2.18	2.04	1.65	1.93	0.48	3.74	2.69	0.71	0	4.62	0.63	14.28	5.4	3.16	7.24	4.93	5.67	0.8	1.62	7.91	7.12	3.15	8.61	1.39
ABCC1	52.68	39.27	34.03	39.71	41.12	37.81	33.75	37.09	38.58	35.82	32.72	39.16	24.35	26.91	28.47	34.41	31.6	11.53	27.32	24.7	15.86	27.48	18.83	20.68	23.83	14.69
ABCC10	7.33	6.78	11.31	11.8	8.44	13.36	5.08	5.27	9.12	8.59	7.44	4.15	7.48	8.1	3.59	9.32	8.75	5.16	7.77	10.06	6.68	10.7	9.94	9.14	1.49	8.76
ABCC11	0	0	0	0	0	0	0	0.37	0	0	0	0	0.34	0	0	0	0.99	0	0	0	0	0.43	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0.25	0	0.62	0	0.49	0	0.34	1.23	0	0.3	0.9	0	1.39	2.18	0	0	0	2.74	0	2.66	0	0	0
ABCC3	0	0	0.17	0	0	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	1.53	0	0	2.46	0	0
ABCC4	31.75	18.97	27.13	35.38	63.87	81.17	119	83.72	87.95	51.5	57.39	72.99	97.01	94.37	68.77	52.89	88.17	66.08	94.38	39.56	50.43	61.67	22.35	19.57	39.24	34.94
ABCC5	38.41	34.48	49.43	51.99	49.47	64.57	45.98	41.31	43.37	40.63	38.12	40.07	31.97	44.5	41.38	45.64	50.08	28.89	37.36	38.08	52.41	32.27	41.12	57.04	40.5	46.29
ABCC6	0	0	3.04	4.29	0.52	2.24	4.99	4.42	4.69	18.63	2.03	1.57	3.08	4.33	1.6	0.69	0	1.17	0	0	0	0.75	0	0.9	0	0
ABCC8	0.85	1.14	0	0.25	0	0	0	0	0	0	0	2.25	0	1.21	0.66	0.35	1.77	0	0	0.78	0.79	0.77	0	0	0	0.68
ABCC9	25.41	30.6	25.13	26.64	33.26	34.15	28.45	21.25	28.21	30.61	1120.74	162.29	162.44	53.63	512.16	34.99	207.2	686.79	1313.46	167.84	122	549.76	84.78	72.83	97.32	4555.89
ABCD1	2.01	1.55	2.17	4.41	1.46	2.99	1.27	3.17	2.39	7.56	8.52	4.82	5.41	5.78	7.18	3.84	0.6	8.73	3.77	3.19	2.16	3.15	0	5.03	3.64	3.7
ABCD2	0	0	0	0	0	0	0	0.15	1.23	1.29	0	0	0.85	0	0.92	0	0	1.12	0	1.09	1.48	3.96	11.15	4.3	5.7	3.8
ABCD3	35.87	45.95	60.13	56.43	62.31	41.23	55.83	58.91	76.19	75.65	89.25	77.75	55.25	79.83	73.01	58.97	80.88	110.38	77.02	72.78	115.97	111.28	134.16	131.91	51.64	60.07
