#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
MRS2	82.26	77.88	44.59	37.18	31.64	39.75	54.2	58.71	84.95	78.64	64.71	100.61	99.36	96.67	108.55	110.38	96.86	81.86	78.42	59.42	50.25	67.89	42.57	24.77	31.32	25.35
MRTO4	75.33	63.76	80.45	66.79	76.36	45.56	55.65	51.33	63.06	46.04	66.06	45.21	27.13	47.06	36.83	21.07	19.48	89.83	39.16	33.32	37.93	38.06	22.32	14.58	0.87	76.43
MRVI1	2.44	3.55	1.61	3.45	4.65	3.69	3.63	4.71	3.42	3.31	5.71	3.62	3.56	3.75	3.81	1.28	2.3	2.78	3.2	1.69	3.94	3.46	3.34	1.52	0	1.88
MS4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76	0	0	0	0	0	0
MS4A10	1.52	1.11	3.05	2.23	0	1.17	0.68	3	0.14	0	6.17	0	0.88	4.51	0	3.2	4.51	0	18.02	9.25	22.48	3.53	10.26	5.49	0	15.33
MS4A12	0	1.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.11
MS4A15	0	0	0	0	1.62	0	0	0	0	0	0	0	2.76	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A2	0.43	0.57	0	0	0	1.72	0.76	1.72	0.63	0	24.45	5.62	2.98	0.43	3.86	0.54	2.38	6.39	10.86	0.52	3.94	4.22	1.66	2.94	1.75	51.68
MS4A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A4A	0	0	0	0	0	0	0	0	0	0	4.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.49
MS4A6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A6E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A7	0.38	1.21	1.19	0.9	0.95	1.25	0	0.25	0	0	10.89	0	0	0.55	2.4	0	0	4.61	7.98	5	2.57	0.81	0	0	3.95	18.48
MS4A8B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53
MSANTD1	0	0	0	0	0	0	1.4	0.5	0	0	0	0	0	1.82	6.94	5.31	0	0	0	0	0	3.49	4.65	8.34	0	0
MSANTD2	12.38	16.43	22.31	25.27	25.4	24.01	23.09	17.96	18.75	19.53	13.16	18.85	19.27	31.38	25.96	22.23	19.9	37.9	25.97	6.16	23.21	34.76	20.85	31.17	27.52	10.72
MSANTD3	65.7	89.82	102.54	98.74	64.03	79.65	81.48	77.84	94.63	103.71	99.63	66.26	110.96	83.42	92.33	120.47	63.94	111.67	88.91	72.21	70.96	120.3	87.46	126.61	124.88	121.78
MSANTD3-TMEFF1	0.81	65.97	3.92	0	69.91	0	19.74	7.82	0	0	0	40.56	91.21	47.51	0	82.06	0	50.78	6.87	73.31	242.71	8.81	0	36.29	316.58	104.16
MSANTD4	32.49	28.66	29.14	26.77	30.8	26.01	49.74	46.81	59.87	50.79	62.61	54.6	55.18	61.35	76.75	50.74	37.73	76.75	50.09	68.63	68.68	70.61	83.31	82.19	49.84	68.03
MSC	3.61	1.11	2.59	3.04	1.96	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0	0	0
MSGN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSH2	487.39	234.34	233.79	232.46	192.38	204.2	213.87	174.92	177.81	166.42	120.61	186.64	201.45	224.2	147.52	111.96	111.58	230.37	173.58	116.64	122.77	153.81	134.19	158.29	93.99	73.45
MSH3	28.91	35.29	25.09	37.69	30.97	32.56	31.27	32.56	33.13	26.6	49.58	48.46	30.11	34.31	37.29	41.32	33.49	59.19	47.95	37.64	34.3	37.12	22.98	27.74	10.15	66.24
MSH4	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
MSH5	7.32	4.66	7.22	6.79	8.21	8.57	10.3	10.38	18.14	13.28	22.81	24.05	19.24	14.43	12.89	14.85	25.77	13.87	22.4	16.37	31.37	3.47	22.5	21.3	3.48	3.72
MSH6	415.76	411.03	387.55	366.72	385.72	376.68	328.69	298.25	286.14	257.73	234.99	246.2	278.78	262.7	230.64	192	154.7	216.43	225.28	179.97	137.88	195.52	147.52	177.49	99.82	117.48
MSI1	35.8	78.04	95.49	100.98	93.27	110.5	127.04	132.26	159.92	191.03	224.8	295.86	283.47	205.27	221.52	353.9	309.15	196.61	242.26	282.54	168.67	221.48	183	136.26	160.42	179.34
MSI2	51.64	89.88	89.05	91.49	98.16	78.25	81.59	75.84	92.1	95.66	127.45	85.96	139.14	130.39	98.08	117.64	123.27	92.24	169.51	132.48	119.72	139.08	107.93	132.64	132.49	71.07
MSL1	64.58	96.67	137.17	138.5	159.92	157.65	143.6	152.74	157.92	140	198.32	231.15	234.67	210.44	245.16	277.99	293.69	178.94	267.63	328.01	272.28	244.86	252.38	242.21	233.84	270.85
MSL2	43.05	47.86	58.38	70.9	65.54	66.15	53.14	53.93	40.78	43.07	38.07	54.99	56.1	50.78	42.28	84.51	66.1	58.24	54.32	70.46	64.35	73.68	56.08	62.66	70.89	62.05
MSL3	29.35	20.15	26.51	27.89	45.56	33.57	35.82	41.31	29.71	40	37.1	42.55	37.02	33.28	29.64	32.5	17.57	25.27	43.15	39.33	45.58	41.76	33.12	45.96	43.27	36.41
MSLN	0	0	0	0.59	0	0.75	0	0	0	0	0	0	1.45	0	0	0	0	0	0	0	0	0	0	0	0	0
MSMB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSMO1	117.15	87.12	90.71	107.82	107.36	105.79	114.16	147.62	200.87	230.82	236.82	257.34	293.01	176.54	355.69	480.68	494.24	262.18	242.68	559.09	404.12	369.34	345.9	249.98	770.38	737.54
MSMP	1.6	0	0	0	0	0	0	2.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSN	188.72	175.03	163.58	180.73	192.98	203.65	204.79	167.14	165.96	169.11	149.91	194.53	188.12	155.63	145.23	216.51	207.04	176.17	199.91	208.56	161.34	159.94	157.02	187.5	134.78	154.9
MSR1	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	1.98	0	0	0	0	0	7.12
MSRA	5.47	3.1	3.6	0.85	1.99	3.48	0	7.9	8.1	7.07	4.63	0	4.52	7.2	0	0	0	0	2.09	2.65	10.99	3.93	4.28	2.28	0	9.24
MSRB1	31.98	27.78	31.35	34.97	30.73	19.68	17.2	23.3	20.22	26.89	6.16	8.32	7.9	22.36	9.73	15.61	3.26	22.18	17.03	0	8.78	8.54	2.85	6.81	7.05	2.51
MSRB2	4.77	7.59	8.83	8.99	4.47	8.7	10.99	17.57	12.15	23.1	24.76	17	19.43	10.92	25.22	2.93	29.77	8.24	37.09	15.96	4.4	27.83	34.01	33.28	0	32.87
MSRB3	0.52	2.41	1.16	2.74	13.78	27.08	24.77	32.03	44.41	41.54	45.57	10.61	16.14	17.33	5.26	10.69	16.56	22.39	19.08	9.99	6.35	2.06	5.08	6.56	2.48	39.01
MSS51	2.57	1.65	5.07	2.01	4.57	9.1	1.34	2.43	1.38	7.62	12.98	6.69	3.01	4.26	0	0.71	10.95	0	14.79	8.49	3.39	2.63	1.9	5.11	0	18.62
MST1	3.63	1.96	2.28	2.68	5.19	0.67	2	5	3.77	0	6.28	2.08	8.54	10.16	1.42	4.54	16.14	0	5.95	10.07	8.52	2.49	3.32	10.57	13.95	2.92
MST1R	0.46	0.25	0.38	1.34	0	0.34	0.25	0	0	0	0	0.69	0	0	1.03	0	1.85	0	0.5	0	0	0	0	0	0	0
MST4	142.66	112.11	172.65	180.88	212.24	175.53	184.11	137.72	181.98	169.28	140.51	181.67	181.59	103.37	112.39	117.11	85.31	92.35	93.2	120.73	74.86	61.79	61.38	30.68	33.72	46.37
MSTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09	0.63	0	0	0	0	0	0	0	0	0	1.21
MSTO1	23.83	24.33	19.88	34.35	21.11	28.83	46.44	23.76	29.99	23.41	13.44	16.22	21.86	21.67	9.42	15.84	10.83	16.15	4.65	4.79	13.77	9.75	15.77	29.14	19.5	6.95
MSX1	0	0	0.46	0	0	0	0	0	0	9.89	0	3.34	1.58	0	0	0	1.14	1.04	1.2	0	3.08	0	0	3.99	0	0
MSX2	0	0	0.4	0	0	0	1.06	5.28	3.48	11.02	6.63	8.77	4.16	5.5	3.74	5.6	0	0	2.09	0	0	2.63	0	0	0	0
MT1A	0	0	0	0	0	0	5.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.66	0	0	0	0
MT1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1E	17.39	0	7.29	5.08	0	0	0	1.71	0	10.7	0	0	0	18.69	0	0	0	0	0	0	0	0	0	0	0	0
MT1F	2.54	0	0	3.27	3.19	0	0	0	0	0	0	0	0	18	7.83	0	0	0	0	0	28.27	0	0	0	0	0
MT1G	3.37	0	0	0	0	0	0	0	0	0	0	0	0	4.6	9.03	18.79	23.4	0	0	0	0	0	0	0	0	0
MT1H	11.24	0	0	0	0	0	0	0	0	0	0	0	0	28.18	0	0	0	0	0	0	0	0	0	0	0	0
MT1M	0	0	4.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1X	266.42	26.7	13.88	29	42.04	49.09	42.78	34.67	8.57	36.21	48.75	54.6	47.84	94.22	145.82	22.99	75.08	0	36.1	0	93.08	20.85	0	4.01	49.89	53.21
MT2A	45.51	11.51	2.22	0	6.74	0	0	10.42	0	26.12	57.82	0	3.84	15.27	53.74	22.12	38.81	0	17.37	63.73	34.82	38.76	38.73	27.02	33.46	17.08
MT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.06	23.74	54.37
MT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTA1	236.47	209.42	234.35	244.04	267.8	308.43	233.14	198.94	181.27	205.59	170.3	261.82	250	201.18	174.53	278.31	211.43	135.57	167.63	229.68	193.73	136.75	117.41	166.61	230.38	231.31
MTA2	140.03	138.56	173.39	195.19	200.24	185.3	158.91	151.16	140.16	119.74	124.98	187.1	164.18	201.19	156.56	192.78	204.28	215.89	178.71	150.72	183.27	213.55	143.19	177.26	132.39	92.99
MTA3	155.46	189.33	243.6	181.38	138	123.09	103.33	109.16	90.06	120.1	137.66	172.39	109.1	112.23	114.01	156.31	130.24	107.27	72.35	106.7	78.26	64.69	97.03	83.18	49.56	51.49
MTAP	126.1	108.49	76.71	66.51	64.41	51.61	57.29	63.61	73.56	80.82	104.13	87.19	99.18	91.69	82.13	61.57	63.58	67.8	92.39	74.05	50.53	49.62	37.49	57.36	52.18	90.56
MTBP	11.05	11.17	11.56	15.07	22.81	32.78	17.12	19.26	24.69	23.23	8.86	24.71	11.98	18.31	26.36	6.33	15.15	7.85	13.56	3.83	4.53	1.26	7.56	20.1	4.99	4.44
MTCH1	188.43	233.75	233.78	230.29	200.27	229.57	218.28	245.2	194.74	218.57	188.23	197.66	158.26	172.23	212.76	170.29	135.64	282.36	192.08	188.74	128.04	154.48	182.28	188.03	171.22	183.35
MTCH2	80.06	96.8	102.72	92.56	102.25	77.36	79.38	110.17	109.27	149.26	87.37	133.6	97.74	128.01	80.23	88.56	86.63	138.05	126.44	96.67	138.85	115.31	100.61	109.5	74.86	54.37
MTCP1	0	0	1.26	0.76	0	3.57	2.65	0	0	0	0	0	8.24	0	0	3.61	0	0	0	0	0	0	0	14.17	0	0
MTCP1NB	16.93	11.42	10.36	23.21	8.07	12.13	11.35	27.45	13.16	24.32	18.8	20.96	13.03	12.13	34.63	11.05	37.61	36.11	16.17	5.87	17.86	17.39	42.5	14.87	40.15	20.43
MTDH	57.06	54.93	38.35	42.58	50.94	52.32	60.5	60.32	83.66	97.65	100.09	102.33	80.79	79.93	85.72	83.39	96.04	101.71	124.59	107.82	110.98	96.76	103.9	101.62	83.87	108.14
MTERF	28.41	33.77	22.55	34.67	29.87	31.97	26.95	24.64	27.42	12.06	29.97	34.32	23.37	27.38	32.06	22.87	15.36	53.86	26.72	11.77	12.86	33.08	15.2	32.08	31.85	14.18
MTERFD1	23.5	17.99	31.1	47.4	31.79	38.24	36.77	20.26	18.07	21.16	16.46	18.48	14.25	40.2	29.53	36.66	36.4	8.62	14.89	8.41	8.53	17.99	5.54	5.52	15.06	7.32
MTERFD2	90.28	81.99	68.51	77.39	100.69	87.69	78.04	44.41	71.37	47.98	71.81	50.46	43.2	84.93	67.82	74.74	44.81	76.34	46.78	45.62	26.8	59.28	41.5	45.37	19.95	25.08
MTERFD3	8.42	16.78	11.08	7.81	21.29	19.64	14.51	22.1	10.6	18.66	5.94	15.58	6.92	21.44	23.44	20.95	5.03	26.24	20.89	13.35	19.08	12.08	5.49	14.01	3.26	13.55
MTF1	10.83	8.97	11.79	15.18	13.44	12.63	14.4	13.41	9.08	10.17	13.88	18.92	16.05	16.01	14.03	13.58	15.5	7.13	20.85	13.35	9.91	11.61	11.97	12.59	7.25	26.5
MTF2	152.15	133.06	129.09	126.98	144.66	123.58	132.8	89.15	106.94	112.83	102.77	133.77	130.32	121.1	128.81	66.86	57.13	131.29	112.91	72.18	80.92	102.66	125.81	151.51	59.9	57.78
MTFMT	23.18	17.16	24.29	20.03	15.63	26	30.18	23.42	21.85	16.7	42.72	22.65	25.33	28.43	24.63	21.61	23.68	26.67	21.97	19.75	25.85	18.25	24.45	29.58	13.42	94.82
MTFP1	52.33	15.5	31.78	32.69	24.77	11.16	34.07	34.8	13.83	24.69	44.53	39.08	37.1	21.55	42.96	37.62	49.34	23.34	4.48	6.18	17.32	31.84	31.84	0	18.54	10.75
MTFR1	34.42	33.76	39.5	41.52	48.16	53.36	55.92	58.05	44.1	63.85	43.52	69.55	50.89	48.48	48.1	64.16	48.61	40.88	52.33	62.52	69.78	62.13	51.53	41.23	59.38	14.96
MTG1	28.99	31.99	47.44	35.6	24.28	23.46	23.24	19.68	35.52	21.63	19.51	4.01	7.62	8.5	28.75	23.07	16.53	39.97	24.45	8.53	42.02	21.65	25.26	5.75	1.19	16.96
MTHFD1	199.19	154.18	107.06	93.13	111.57	102.14	96.12	97.39	76.76	77.85	39.87	68.98	57.08	94.29	48.64	38.78	37.1	82.37	64.11	31.67	52.72	42.45	52.5	56.13	50.3	22.64
MTHFD1L	112.25	76.03	55.01	57.96	66.18	66.19	63.32	58.01	95.61	56.93	36.26	52.83	33.47	43.31	43.91	52.35	42.34	33.56	32.95	21.28	36.01	19.51	14.7	19.93	23.64	22.57
MTHFD2	281.89	210.61	166.75	113.14	113.25	130.07	150.03	157.6	198.32	131.99	109.01	137.23	83.35	93.72	74.73	58.96	32.4	67.95	70.83	59.09	45.42	49.51	94.52	42.3	59.5	45.2
MTHFD2L	2.69	6.78	2.63	0	3.99	1.33	6.92	6.7	9.77	5.89	5.31	8.2	20.76	11.58	11.19	32.92	7.5	3.4	8.81	21.56	13.46	11.47	11.47	0	1.62	10.11
MTHFR	6.97	5.23	7.73	7.48	6.33	6.67	10.57	9.03	9.11	16.72	17.54	18.31	8.95	14.02	18.85	9.92	6.19	14.25	24.22	20.69	17.91	14.14	12.58	14.07	16.82	44.32
MTHFS	6.34	8.31	4.63	3.74	4.61	2.94	7.49	2.49	0	0	0	0.07	0	0.65	0	0	7.58	0	0	0	0	0.12	0.15	0	0	0
MTHFSD	5.63	6.79	7.28	6.98	10.6	18.58	13.18	10.23	11.65	9.7	6.86	11.12	13.58	8.51	6.54	5.87	7.35	10.55	6.91	1.93	5.22	4.45	16.51	14.69	10.17	3.4
MTIF2	77.47	89.56	54.7	54.79	62.5	49.26	73.61	46.28	76.25	60.44	69.86	73.29	76.08	74.32	55.88	54.42	40.06	24.59	52.59	39.62	42.38	22.91	21.38	33.49	18.9	30.04
MTIF3	49.89	46.38	43.29	46.8	60.83	18.41	34.2	59.53	62.71	73.52	79.63	74.04	69.13	51.88	112.39	91.41	116.1	41.17	53.87	79.9	48.49	84.96	67.96	62.89	21.35	55.44
MTL5	39.71	28.6	18.93	15.41	8.63	9.78	1.38	4.26	6.42	5.73	9.94	18.92	11.29	14.05	8.75	11.36	37.99	3.86	11.51	25.69	2.01	2.47	0	4.66	5.26	8.61
MTM1	11.97	17.56	17.74	18.11	17.17	10.93	17.94	11.58	13.37	14.62	15.15	15.43	19.54	11.88	17.7	10.75	7.06	11.64	18.76	23.27	17.28	22.42	23.54	15.64	16.09	7.9
MTMR1	39.46	38.4	32.39	26.02	37.36	35.01	34.97	35.88	38.9	43.19	35.13	37.72	58.18	37.71	36.17	25.81	63.09	69.68	54.04	31.46	71.84	45.2	25.42	71.51	75.48	33.61
MTMR10	15.51	16.71	12.25	11.27	13.48	15.74	18.01	16.84	21.56	22.99	18.86	18.1	19.33	29.5	24.8	31.13	19.52	24.14	22.69	25.49	20.7	26.73	14.72	27.49	16.87	11.55
MTMR11	1.11	1.46	0.75	0	1.15	0.67	0.99	0.71	1.4	4.44	5.34	9.61	3.91	1.94	11.24	5.26	5.65	4.27	0.98	8.88	6.76	0.82	3.37	2.69	3.26	18.86
MTMR12	64.65	72.22	53.52	45.87	32.52	41.13	43.11	35.76	40.39	42.99	44.87	34.26	34.47	35.36	46.33	48.41	49.59	37.12	44.61	42.86	26.31	47.32	37.39	44.71	14.2	72.9
MTMR14	68.23	63.26	71.97	55.95	49.81	53.6	32.69	45.88	17.06	23.04	31.53	25.8	37.09	27.05	40.38	23.05	12.14	34.86	25.35	15.21	40.84	37.98	16.06	31.7	1.75	11.5
MTMR2	45.17	67.04	70.14	69.64	65.39	57.96	50.27	42.78	49.28	62.83	41.63	61.7	70.9	41.42	57.43	32.23	68.04	87.84	49.5	47.27	42.61	44.7	52.27	46.7	33.12	44.25
MTMR3	8.72	11.87	15.35	15.35	17.37	16.67	17.6	19.99	14.47	17.86	23.59	28.29	20.18	25.77	23.78	25.84	27.45	12.11	25.28	24.27	18.41	35.63	18.57	21.69	22.65	18.27
MTMR4	22.74	22.98	30.37	32.36	37.38	31.6	30.24	41.98	43.96	42.96	35.63	51.13	53.5	72.69	35.44	38.52	72.06	74.93	72.87	51.04	56.87	68.2	89.61	91.14	103.68	67.94
MTMR6	18.57	15.46	17.91	20.24	27.7	19.77	28.48	27.44	40.8	44.07	39.85	44.59	49.04	49.18	60.4	50.16	36.29	60.08	49.78	53.35	55.89	68.91	79.96	83.44	58.71	61.78
MTMR7	5.37	8.16	8.67	12.45	7.59	8.27	7.24	4.07	2.89	3.27	3.54	6.37	16.07	16.26	15.82	14.27	14.15	12.08	17.38	19.87	28	29.07	24.71	19.99	33.44	26.26
MTMR8	2.78	3.43	1.66	1.87	1.01	0	2.63	1.56	0.82	1.96	9.41	3.03	10.92	7.97	6.19	7.95	6.64	0	1.73	0	0	0.73	0	3.47	10.05	3.84
MTMR9	39.11	38.35	31.1	35.24	30.92	30.63	23.13	27.19	20.18	34.1	36.29	26.1	34.63	31.85	35.44	33.91	31.94	39.28	47.85	51.94	57.64	62.95	66.9	61.1	76.32	78.03
MTNR1A	0	2.09	3.25	0	4.93	7.19	0	0.76	0	4.77	0	4.43	0	5.56	0	0	6.08	0	4.23	0	0	0	0	0	0	0
MTNR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTO1	29.57	24.56	20.56	27.28	11.02	30.66	21.9	18.46	23.19	7.12	27.81	28.07	31.87	26.41	38.73	14.46	18.13	17.79	17.31	34.72	13.25	27.7	23.08	36.28	18.93	11.16
MTOR	43.47	47.03	57.15	52.84	55.69	48.41	47.78	38.33	34.07	40.12	30.66	26.41	29.08	40.04	23.45	19.08	26.43	18.3	39.94	20.7	22.13	14.51	23.52	18.58	8.92	11.24
MTPAP	28.78	24.59	22.62	25.55	28.12	35.61	30.67	18.57	22.57	17.61	41.53	25.74	20.08	23.73	21.06	23.21	20.66	19.72	31.59	34.81	22.55	21.35	41.19	31.73	18.59	47.69
MTPN	77.22	78.04	81.28	89.34	88.12	83.76	115.04	92.47	95.94	99.57	83.54	103.95	101.47	76.63	82.27	121.78	114.34	106.25	100.11	112.37	116.83	114.39	97.6	124.23	137.53	134.49
MTR	35.56	35.01	31.95	33.37	32.06	42.66	45.03	41.47	48.13	45.62	52.56	53.78	50.1	55.39	32.33	34.14	43.21	39.61	44.73	34.28	38.87	29.5	24.81	24.84	23.63	31.18
MTRF1	16.09	16.3	10.2	9.2	5.57	11.57	13.43	6.51	9.09	5.6	3.85	5.2	12.68	20.95	20.5	21.13	26.49	15.7	10.53	11.71	14.62	11.56	13.34	1.42	12.32	10.98
MTRF1L	20.66	21.7	18.43	13.79	12.54	17.15	22.47	17.52	24.58	13.83	19.87	21.04	10.19	33.51	16.25	12.22	34.18	31.95	35.68	15.58	11.73	29.33	30.36	20.1	11.84	23.62
MTRNR2L1	159.25	195.76	172.44	203.02	213.54	219.04	188.57	258.39	183.27	244.51	170.91	218.57	231.55	284.97	252.23	293.42	502.51	357.96	277.67	371.07	455.83	197.49	355.17	465.42	435.61	234.24
MTRNR2L10	59.01	81.33	78.25	81.05	73.98	113.17	70.62	104.78	71.08	69.93	43.83	44.17	57.78	116.42	55.94	92.23	122.79	76.94	47.97	131.88	135.33	95.71	75.24	117.95	77.76	97.78
MTRNR2L2	2319.93	2615.31	2491.37	2688.24	3231.35	3096.45	2585.51	3018.15	2551.93	3286.07	2412.82	2895.89	3403.7	4945.59	3571.62	4391.65	5394.34	4848.25	3841.14	5992.22	6029.59	4557.95	5203.93	6998.88	4070.41	3550.01
MTRNR2L3	7.35	10.33	11.61	13.79	17.17	9.38	27.75	18.11	10.48	2.54	2.32	14.95	13.34	10.88	8.31	21.05	8.49	0	17.18	11.5	4.45	15.35	22.57	11.88	20.87	1.47
MTRNR2L4	8.06	12.94	14.07	20.02	17.04	11.58	11.81	22.62	17.48	4.83	41.15	14.67	9.88	23.28	7.14	11.61	7.63	30	26.32	38.31	46.33	5.96	15.55	15.79	7.96	78.5
MTRNR2L5	0.69	0	2.1	4.39	5.82	0	9.16	2.29	5.94	0.82	48.98	7.03	2.01	1.44	8.01	0	0	8.29	11.77	4.54	10.33	9.69	8.38	5.68	0	78.82
MTRNR2L6	2.67	0.95	6.38	6.28	22.19	5.55	0.27	10.83	13.67	4.69	13.13	19.65	8.33	14.37	9.72	20.14	7.34	24.81	2.46	31.7	24.34	10.53	2.44	27.21	4.17	5.3
MTRNR2L7	1.32	2.09	2.35	5.71	4.48	1.06	1.61	0.96	0	5.62	0	0	2.06	0	5.42	0	7.4	2.68	7.8	1.32	2.67	1.24	3.91	7.18	4.98	0
MTRNR2L8	975.6	1053.23	1165.09	1138.68	1389.88	1423.25	1088.43	1382.74	1063.32	1373.93	946.68	1157.69	1218.44	2056.44	1347.44	2114.92	1898.63	1897.95	1600.06	2037.99	2057.48	1614.92	2019.66	2657.6	1728.88	1220.58
MTRR	32	30.16	24.21	31.45	27.78	29.44	32.3	19.87	18.72	14.18	15.28	15.11	35.17	15.59	13.07	15.6	13.49	21.4	11.87	16.69	16.2	15.77	29.44	6.57	10.49	22.83
MTSS1	5.47	4.31	4.93	7.19	21.91	24.96	29.66	17.19	23.32	22.09	26.56	20.82	26.75	28.33	43.25	38.57	29.01	39.06	47.26	85.49	80.84	77.91	92.88	99.45	101.79	112.3
MTSS1L	14.38	15.75	13.28	10.23	15.32	8.16	11.66	21.94	22.8	28.82	21.3	21.91	30.59	21.52	35.6	37.04	45.55	41.3	44.78	41.05	34.12	28.19	34.36	61.26	56.55	49
MTTP	0.77	0.28	1.29	1.52	0	0.76	0	0.2	0.53	1.27	3.06	3.92	4.47	2.95	7.63	7.73	10.23	6.84	3.94	0.95	4.83	2.82	0	2.25	3.72	0.83
MTUS1	4.33	1.99	4.52	20.14	30.47	18.43	11.31	8.2	3	6.16	5.22	20.77	21.72	21.11	18.1	20.71	10.29	14.24	17.92	8.75	29.26	44.29	30.05	44.9	38.02	19.52
MTUS2	1.06	0.85	0.66	0.71	0.96	0.45	0	0.62	0	0.25	1.56	4.02	0.44	5.3	2.88	0	5.52	7.51	5.62	8.3	16.35	8.2	8.57	3.84	0.95	5.1
MTX1	19.24	15.47	11.45	20.75	10.76	15.47	9.34	5.63	6.75	9.02	12.86	15.88	5.65	13.07	7.49	4.58	0	5.21	7.11	12.7	5.15	2.51	7.52	0	0	4.42
MTX2	52.23	42.27	36.65	30.81	30.26	61.54	43.18	50.71	54.02	59.26	77.33	46.8	35.54	47.34	63.44	17.93	28.9	62.61	58.67	41.17	40.34	85.53	75.71	42.48	16.65	42.01
MTX3	66	61.63	69.68	71.26	82.45	69.98	57.6	49.09	59.23	54.56	69.95	81.93	83.89	65.74	56.6	71.63	78.17	53.85	61.92	69.89	54.38	48.75	48.81	37.95	38.12	56.14
MUC1	1.17	4.87	5.4	3.04	0.74	0	1.29	1.01	4.29	5.77	0	1.79	7.46	9.25	12.42	0	0	0	2.56	0	12.14	7.88	13.21	8.64	14.84	0
MUC12	0.19	0	0.16	0.3	0.25	0.38	0	0	0	0	0.25	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36
MUC15	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0.51	4.89	4.32	0	0	0	0.59	0	0	0	0	0.62
MUC16	0.05	0.18	0	0	0	0	0.03	0	0	0	0.09	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0.08
MUC17	0.28	0	0.06	0	0.74	0.87	0.64	2.51	0	0.36	0.29	0.45	0.31	0	1.13	1.25	2.27	0	0.32	0.94	0.27	0	1.86	0.74	0	0
MUC2	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC20	0.09	0.26	0	0.41	0.87	0.29	0	0.54	0.18	0.63	0.86	1.99	0	0	3.05	1.36	0	0	2.22	2.57	2.51	5.28	1.96	4.11	1.84	12.28
MUC21	0	0	0	0	0.35	1.51	0.32	0	0	0	1.66	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0	3.81
MUC22	0	0	0.28	0	0	0.78	0	0	0	0	0.56	0	0.5	0	0	0	1.61	0.33	0.77	0	0	0.66	0	1.51	0	6.02
MUC4	1	1.82	1.83	1.77	0	0	0	0	0.06	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
